original_filename,page,file_url,platform_link,InvoiceDate,Project_Name,SupplierName,Total,InvoiceNumber,Unit_Price,Item,Amount,Qty,Description,col1
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 2,830.00",11,"$ 14,150.00 69",5.0,Concrete Flume,EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"69 $ 8,975.00",12,"$ 8,975.00",1.0,Control Structure,EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 3,985.00",13,"$ 47,820.00",12.0,Grate Inlet,EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 69 4,295.00",14,"$ 77,310.00",18.0,Junction Box,EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 3,555.00",15,"$ 21,330.00",6.0,"24 "" Flared End Section",EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 5,215.00",16,"$ 5,215.00",1.0,"42 "" Flared End Section",EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 6,235.00",17,"$ 6,235.00",1.0,"48 "" Flared End Section",EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 11,590.00",18,"$ 11,590.00",1.0,"48 "" Dual Flared End Section",EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,$ 865.00,19,"$ 6,920.00",8.0,Brick Storm Plug,EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"$ 13,850.00",20,"$ 13,850.00",1.0,Storm System Testing,LS
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,"1,990.00",21,"$ 35,820.00",18.0,Downspout Connections,EA
3-25-5.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1d357907-837f-415c-9c9f-ba85da8954d9-1.jpeg?expires=1699312802&or=0&s=0fd3033b23276a9e56f65a7937135ef5,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c8b46f1-7cd8-11ee-9aa7-96e0b087f49f,03/25/23,Manatee County Logistics,"DEME CONSTRUCTION , LLC","$ 1,248,323.90",22004-10,,,,,,
