original_filename,page,file_url,platform_link,SupplierName,InvoiceNumber,InvoiceDate,Project_Name,Total,Description,Amount,Unit_Price,Qty,Item,col1,col2
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90",Concrete Flume,"$ 14,150.00","$ 2,830.00",5.0,11,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90",Control Structure,"$ 8,975.00","$ 8,975.00",1.0,12,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90",Grate Inlet,"$ 47,820.00","$ 3,985.00",12.0,13,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90",Junction Box,"$ 77,310.00","4,295.00 $",18.0,14,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","24 "" Flared End Section","$ 21,330.00","3,555.00 GA $",6.0,15,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","42 "" Flared End Section","$ 5,215.00","5,215.00 $",1.0,16,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","48 "" Flared End Section","$ 6,235.00","$ 6,235.00",1.0,17,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90","48 "" Dual Flared End Section","11,590.00 $","$ 11,590.00",1.0,18,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90",Brick Storm Plug,"6,920.00 $",$ 865.00,8.0,19,EA,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90",Storm System Testing,"$ 13,850.00","13,850.00 $ GA",1.0,20,LS,
all_2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/4499c893-a776-40a0-b51f-58cc991a9717-1.jpeg?expires=1699316121&or=0&s=b53ca63f244c7b7bd813d3a52c24fcd3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f106878-7cdc-11ee-a665-9ed985f60ee4,"DEME CONSTRUCTION , LLC, 755-5900",22004-12,05/25/23,Manatee County Logistics,"1,248,323.90",Downspout Connections,"$ 35,820.00","$ 1,990.00",18.0,21,EA,
