original_filename,page,file_url,platform_link,SupplierName,InvoiceNumber,InvoiceDate,Project_Name,Total,Amount,Qty,Unit_Price,Item,Description,col1,col2
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",$ 588.00,1.0,$ 588.00,14,"10 "" x 8 "" MJ Reducer",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",S 1.809.00,3.0 ooooo,$ 603.00,15,"10 x 6 "" MJ Reducer",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 
S 447.00 
857.00","1.0 
1.0","$ 
$ 447.00 
857.00","16 
17","8 x6 "" MJ Reducer 
10 "" -90 ° MJ Bend","EA 
EA",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","S 7,230.00",10.0,$ 723.00,18,"10 "" -45 MJ Bend",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 1,444.00",2.0,$ 722.00,19,"10 "" -22 1/2 MJ Bend",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",S 549.00,1.0,$ 549.00,20,8-90 MJ Bend,EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","S 1,545.00",3.0,$ 515.00,21,"8 "" -45 * MJ Bend",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 
$ 57,900.00 
24,360.00","10.0 
3.0","$ 
$ 5,790.00 
8,120.00","22 
23","Fire Hydrant Assembly 
8 "" Check Valve","EA 
EA",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 7,650,00",3.0,"$ 2,550.00",24,FDC,EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",,,,,"10 "" Compound Master Water Meter",,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 33,580,00",1.0,"$ 33,580.00",25,Assembly,EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 
$ 2,604.00 
2,949,00","3.0 
3.0","$ 
$ 868.00 
983.00","26 
27","2 "" Cap / TBO 
8 "" Cap / TBO","EA 
EA",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 6,945.00",3.0,"$ 2,315.00",28,"8 "" Stainless Steer Fire Riser",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 3,020,00",1.0,$ 3.020.00,29,"2 "" Water Service to Lift Station",EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 32,565,00",1.0,"$ 32,565.00",30,Restrained Joints,LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 
$ 615.00 
2,705.00","1.0 
1.0","$ 
$ 615.00 
2,705.00","31 
32","Chlorine Injection Point 
Maintenance of Traffic","EA 
LS",
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",$ 959.00,1.0,$ 959.00,33,Offsite Restoration,LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",$ 4.305.00,1.0,$ 4.305.00,34,Trench Box / Shoring,LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 5,655.00",1.0,,35,"Remove 10 "" Post Indicator Valve 
and Replace with 10 "" Gate Valve",1 EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 
$ 5,655.00 
1.498.00",2.0,"$ 
$ 5,655.00 
749.00","35 
36","and Replace with 10 "" Gate Valve 
10 "" Sold Sleeve",1 EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 12,860.00",1.0,"$ 12,860.00",37,Temporary 6 Jumper,5 EA,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 6,570.00",1.0,"$ 6,570.00",38,Chlorination,55 LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 6,570.00",1.0,"$ 6,570.00",39,Pressure Test,LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",,,,,"CHANGE ORDERS 
CO # 1 - Remove Paving Items # 9 ,",,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",,,,,# 10 and # 11 From Contract and,,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ ( 122,138.00 )",1.0,"$ ( 122,138.00 )",1,"Add Back in Costs to Grade All 
Sidewalks",LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",,,,,CO # 2 - Plan Changes made of,,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 339,777.00",1.0,"$ 339,777.00",2,03/2022 Revision,LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 2,500.00",1.0,"$ 2,500.00",3,Around Owner's Trailer CO # 3 - Mowing Maintenance,LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ ( 474,126.00 )",1.0,"$ ( 474,126.00 )",4,CO # 4 - Plan Revisions,LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",,,,,"CO # 5 - Reduction of 1 "" of Conrete",,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 6,151.00",1.0,"$ 6,151.00",5,"( By Others ) at Truck Paving for 
Bldas 100 & 200",LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77","$ 5,275.00",1.0,"$ 5,275.00",6,"CO # 6 - Installation of Temporary 
Parking Lot",LS,
all_2-7.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/536a6c48-6ce9-4644-83c2-5c39e0b9715f-1.jpeg?expires=1699319265&or=0&s=dafb96c65215b0786d409ec8b87a29a7,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/4f115216-7cdc-11ee-8a9e-96e0b087f49f,"DEME CONSTRUCTION , LLC",22004-12,05/25/23,Manatee County Logistics,"8,204,437.77",,,,,CO # 7 - Add Phase 2 Storm Pipe,,
